name,level,type,city,district,address,longitude,latitude,rating_amount,rating_score,rating_average,google
高雄市私立信展老人養護中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區光復路6號,120.3623352,22.62882233,26,117,4.5,3.1
高雄市私立鳳新老人養護中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區南京路391巷1號,120.3449783,22.6142025,20,62,3.1,3.4
高雄市私立真善美老人長期照顧中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區經武路85之21號,120.3622589,22.62789345,3,10,3.333333333,3.6
社團法人高雄市鳳山老人健康照護協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區文英里建國路二段192巷33之16號,120.3585129,22.63783455,42,172,4.095238095,4.4
杏和醫院,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區五甲二路385號、387號、389號、391號B1-9樓、407號1樓,120.3356705,22.59767723,32,112,3.5,4.4
高雄市鳳山老人活動中心,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區光遠路222號,120.3639526,22.62701607,17,24,1.411764706,1.9
社團法人高雄長期照顧人員福利促進協會附設高雄市私立長促居家式服務類長期照顧服務機構,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區信義街303號1樓,120.3480988,22.62695122,38,182,4.789473684,2.5
高雄市私立瑞興里社區式,B,家庭托顧服務,高雄市,鳳山區,高雄市鳳山區瑞興瑞興路249巷21號14樓,120.3667145,22.628088,37,144,3.891891892,2.8
高雄市私立成大老人養護中心,B,喘息服務,高雄市,鳳山區,高雄市鳳山區南京路387巷2之2號,120.3452606,22.61398125,2,7,3.5,2.9
高雄市政府社會局五甲老人活動中心,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區國富路31號,120.3491898,22.61548424,44,185,4.204545455,2.2
社團法人高雄市八方義行團關懷協會私立八方居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區中山東路58巷32號,120.3701706,22.6228714,49,245,5,4.9
瑞慈居家護理所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區錦田路130之7號4樓,120.3326645,22.59339333,19,70,3.684210526,4.7
社團法人高雄市生活復健自立支援協會,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區和興街137巷10號1樓,120.3562622,22.61746788,9,40,4.444444444,3.4
聖心物理治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區誠德街164號1樓,120.3741989,22.62488556,27,124,4.592592593,3.8
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立鳳山社區,B,喘息服務,高雄市,鳳山區,高雄市鳳山區光遠路222號,120.3639526,22.62701607,29,110,3.793103448,2.7
高雄市私立巧鈊居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區誠和路109號1樓,120.3574753,22.61127472,29,125,4.310344828,3.4
社團法人台灣照顧服務人力管理協會附設高雄市私立福愛園居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區自治街75巷11號1樓,120.3516235,22.6232872,4,20,5,5
有限責任高雄市安祥照顧服務勞動合作社,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區大東一路113號,120.361351,22.62212563,20,80,4,3.5
有限責任臺灣第二照顧服務勞動合作社私立二顧居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區八德路246之2號1樓,120.3568802,22.63853073,8,18,2.25,3.5
社團法人高雄市鳳山心故鄉社區營造協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區國富里國富路31號,120.3491898,22.61548424,16,80,5,3.1
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區八德路159號1樓,120.3592834,22.63778877,28,98,3.5,3.9
家康診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區五甲三路134號,120.3256149,22.59152794,30,78,2.6,3.4
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立五甲社區,B,喘息服務,高雄市,鳳山區,高雄市鳳山區福誠二街168號,120.3228912,22.59230423,15,66,4.4,3.2
大欣診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區文化路25號,120.3577957,22.63328171,11,53,4.818181818,3.2
高雄市私立愛智家園,B,家庭托顧服務,高雄市,鳳山區,高雄市鳳山區文衡路281號9樓,120.3538666,22.63986206,21,53,2.523809524,5
社團法人高雄市第一志願服務協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區中山西路266號2樓,120.3450775,22.62824059,14,52,3.714285714,2.9
高雄市鳳山區生明社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區生明里王生明路28號,120.3626556,22.61609268,6,26,4.333333333,3.2
有限責任高雄市厚德照顧服務勞動合作社附設高雄市私立厚德居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區龍成路186號1樓,120.3296356,22.59827042,43,116,2.697674419,3.2
有限責任高雄市安祥照顧服務勞動合作社附設高雄市私立安祥居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區大東一路113號,120.361351,22.62212563,32,160,5,5
吳文紹診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區五甲三路3號,120.3281631,22.5929451,50,140,2.8,3.4
高雄市私立馨迦居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區新富路276號4樓,120.3415451,22.61265564,48,230,4.791666667,2.8
高雄市關懷婦幼協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區中正里中正里瑞興路422巷63之1號,120.370369,22.63009453,9,30,3.333333333,4.2
社團法人高雄市愛智家園社區關懷協會,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鳳崗里鳳崗路鳳崗路31巷35之1號,120.3454895,22.64699936,42,143,3.404761905,0.6
高雄市鳳山區協和社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區協和里五權南路231號,120.3528824,22.62412071,16,61,3.8125,1.8
中華民國紅十字會新高雄分會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區新興里大東一路10巷38號,120.3616028,22.62401009,14,64,4.571428571,3.6
台灣寬霖關懷協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區老爺里興隆街42號,120.3436432,22.60553169,41,139,3.390243902,3.8
高雄市鳳山區新海光社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區埤頂里勝利路22號,120.3747406,22.63298607,15,32,2.133333333,2.8
高雄市私立森宏居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區仁愛路20號,120.3730011,22.62314415,4,13,3.25,3.2
社團法人高雄市關懷台灣協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區國隆里南京路330巷7號,120.3463058,22.61690903,5,18,3.6,1.6
高雄汽車客運股份有限公司,B,交通接送服務,高雄市,鳳山區,高雄市鳳山區中山路138號,120.3572617,22.62419319,3,15,5,4.3
高雄市私立力嫻居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區工協街39號1樓,120.3719788,22.62976265,19,53,2.789473684,4.1
有限責任高雄市協和照顧服務勞動合作社附設高雄市私立協和居家式服務類長期照顧服務機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區信義街50號,120.3547287,22.62736893,3,11,3.666666667,4.2
高雄市鳳山區忠孝社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區忠孝里光復路1段162巷26號,120.3498688,22.63008308,37,85,2.297297297,4
高雄市私立藏德居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區武營路176號,120.3377151,22.60989189,18,50,2.777777778,5
高雄市鳳山區二○五社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區福誠里瑞春街8號,120.3227463,22.59574318,21,80,3.80952381,3.4
高雄市常健照顧協會私立常健社區,B,日間照顧服務,高雄市,鳳山區,高雄市鳳山區自由路164號7樓,120.3500824,22.62568855,26,91,3.5,4.2
高雄市私立千葉老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區姑山里姑山路19之1號,120.434906,22.70574188,36,144,4,1.1
高雄市私立新樂園老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區姑山里姑山路19之2號,120.434906,22.70574188,44,172,3.909090909,4.3
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立大樹社區式,B,喘息服務,高雄市,大樹區,高雄市大樹區久堂里久堂路128號2樓,120.41819,22.65807343,18,76,4.222222222,4.4
社團法人高雄市大樹長青會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區檨腳里實踐街98號,120.4315643,22.68984222,24,120,5,5
高雄市大樹區檨腳社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區檨腳里中興南路1巷46號,120.4341812,22.68932915,25,120,4.8,1.8
高雄市私立欣家老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區中山路26號,120.4109116,22.66292763,17,85,5,4.4
高雄市原住民關懷協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區九曲里九曲路498號,120.4233398,22.6558857,21,80,3.80952381,2.4
高雄市大樹區大坑社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區大坑里大坑路188號,120.4443893,22.71333313,40,156,3.9,2.8
高雄市大樹區統嶺社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區統嶺里統嶺路91-9號,120.4477844,22.77159119,22,37,1.681818182,3.7
建佑醫院,B,專業照護服務,高雄市,林園區,高雄市林園區東林西路360號,120.3866806,22.50382042,43,189,4.395348837,4.7
慈佑護理之家,B,喘息服務,高雄市,林園區,高雄市林園區沿海路四段72.74號,120.3851624,22.50103378,9,41,4.555555556,3.5
高雄市林園區文賢社區發展協會,B,營養餐飲服務,高雄市,林園區,高雄市林園區文賢里文賢南路105巷1之5號,120.3935852,22.50181198,8,30,3.75,4.2
建佑醫院附設居家護理所,B,專業照護服務,高雄市,林園區,高雄市林園區東林西路364巷10之1號3樓,120.3865814,22.50435066,48,197,4.104166667,2.2
臨居居家職能治療所,B,專業照護服務,高雄市,林園區,高雄市林園區林內路70巷90-1號1樓,120.3990555,22.53281403,35,168,4.8,3.4
高雄市私立建佑社區,B,喘息服務,高雄市,林園區,高雄市林園區沿海路四段356號1樓,120.3759766,22.5046196,33,66,2,5
財團法人獎卿護理展望基金會,B,營養餐飲服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085,44,154,3.5,3.1
社團法人高雄市基督教家庭服務協會,B,營養餐飲服務,高雄市,前金區,高雄市前金區長生里中華三路23號,120.2976837,22.62404633,30,114,3.8,4.3
財團法人獎卿護理展望基金會大高雄居家護理所,B,專業照護服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085,31,130,4.193548387,1.5
高雄市立大同醫院,A,個案管理服務,高雄市,前金區,高雄市前金區復元里中華三路68號,120.2974014,22.62735939,21,69,3.285714286,5
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立到咖手居家式服務類長期照顧服務機構,B,喘息服務,高雄市,前金區,高雄市前金區國民里大同二路145號10樓之6,120.2901764,22.62522316,36,180,5,1.2
財團法人弘道老人福利基金會,B,營養餐飲服務,高雄市,前金區,高雄市前金區東金里文武一街65號,120.293808,22.63116264,32,150,4.6875,5
有限責任高雄市滿緣照顧服務勞動合作社附設高雄市私立滿緣居家式服務類長期照顧服務機構,B,專業照護服務,高雄市,前金區,高雄市前金區東金里永恆街18號,120.2942886,22.62966156,23,115,5,3.8
高雄市立大同醫院附設居家護理所,B,專業照護服務,高雄市,前金區,高雄市前金區復元里中華三路68號9樓,120.2974014,22.62735939,50,250,5,3.9
財團法人獎卿護理展望基金會護理之家,B,喘息服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085,16,72,4.5,4.6
有限責任高雄市愛齡照護服務勞動合作社,C,巷弄長照站,高雄市,前金區,高雄市前金區國民里大同二路145號,120.2901764,22.62522316,39,148,3.794871795,2.7
社團法人台灣百香果創齡協會,C,巷弄長照站,高雄市,前金區,高雄市前金區長生里中華三路7號,120.2981033,22.62294006,26,83,3.192307692,3.2
高雄市立中醫醫院,C,巷弄長照站,高雄市,前金區,高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口),120.2974029,22.6273601,11,45,4.090909091,4.6
商周企業管理顧問股份有限公司附設高雄市私立金牌居家長照機構,B,喘息服務,高雄市,前金區,高雄市前金區文東里中山二路507號8樓,120.3016968,22.62036133,20,68,3.4,2.8
私立康能護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延正里延正路10之3號,120.6990356,23.78234291,46,230,5,3.1
竹山秀傳醫院附設居家護理所,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518,39,187,4.794871795,4.2
竹山秀傳醫院,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518,31,124,4,3.4
私立淨元護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮社寮里田中巷47-5號,120.7244186,23.81746292,49,172,3.510204082,4.8
南投縣私立中山社區式長期照顧服務機構,B,家庭托顧服務,南投縣,竹山鎮,南投縣竹山鎮中山里新生路160巷10號,120.6750946,23.75340652,20,98,4.9,4.9
社團法人南投縣新媳婦關懷協會附設南投縣私立好媳婦居家式長期照顧服務機構,A,個案管理服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992,36,101,2.805555556,3.4
南投縣私立同心居老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里大仁路199巷2號,120.6728973,23.75732422,5,17,3.4,4
東華醫院附設南投縣私立東華居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569,4,14,3.5,5
東華醫院附設護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮集山路3段272巷16號4-5樓,120.7000351,23.7642498,48,240,5,4.8
竹山秀傳醫院附設護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮集山路二段75號,120.7139587,23.80016518,34,146,4.294117647,4.5
社團法人南投縣社區家庭支援協會附設南投縣私立迦南居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮桂林里中山路1之61號,120.6957855,23.74672508,15,56,3.733333333,4.5
私立博愛護理之家,B,日間照顧服務,南投縣,竹山鎮,南投縣竹山鎮延正里江西路27號,120.7044144,23.78141212,14,35,2.5,4.4
竹山秀傳醫院附設南投縣私立秀傳居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518,46,143,3.108695652,4.8
南投縣私立億安老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延和里大和街258號,120.6936417,23.76384354,6,26,4.333333333,5
南投縣私立慈愛老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里大勇路21號,120.6745911,23.75741959,6,30,5,5
社團法人南投縣社區家庭支援協會,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮桂林里中山路1之61號,120.6957855,23.74672508,4,17,4.25,4.5
聖恩護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里埔頭街76號,120.6791763,23.7553215,25,85,3.4,4.8
南投縣竹山鎮桶頭社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮桶頭里鯉南路349號,120.6559448,23.644207,5,25,5,5
上善居家物理治療所,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮大仁路46號,120.6763,23.75536728,9,5,0.555555556,4.7
南投縣竹山鎮延正社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮延正里延正路70號 (護天宮旁),120.6981583,23.77306747,35,102,2.914285714,4.1
東華醫院,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮鯉魚里鯉行路1號,120.7002716,23.76437569,14,41,2.928571429,3.1
社團法人南投縣新媳婦關懷協會,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992,5,20,4,4.3
南投縣竹山鎮富州社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮富州里集山路一段422號,120.7470703,23.81393051,13,52,4,5
南投縣竹山鎮社寮社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮社寮里大公街75號(社寮社區推廣中心),120.7225037,23.81711006,40,148,3.7,5
南投縣竹山鎮福田社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮福興里鯉南路136-1號,120.6670074,23.72780037,26,120,4.615384615,4.4
竹山秀傳醫院山崇里,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮山崇里溫水巷24號,120.7091675,23.80520821,3,14,4.666666667,5
埔基醫療財團法人附設愛蘭護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮鐵山里鐵山路2號,120.9461823,23.97181702,14,57,4.071428571,4.3
迦南精神護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮中山路1段182-1號,121.002182,23.97846222,42,210,5,4.4
臺中榮民總醫院埔里分院附設居家護理所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9943695,23.97875404,13,47,3.615384615,5
財團法人老五老基金會,B,居家服務,南投縣,埔里鎮,南投縣埔里鎮北門里博愛路37號,120.9725571,23.96599197,31,96,3.096774194,5
財團法人愚人之友社會福利慈善事業基金會,B,居家服務,南投縣,埔里鎮,南投縣埔里鎮鐵山里鐵山路1號,120.9373322,23.97621155,2,5,2.5,5
埔基醫療財團法人附設埔基護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮鐵山路1號,120.9465561,23.97139931,26,86,3.307692308,5
南投縣私立永安社區式長期照顧服務機構,B,家庭托顧服務,南投縣,埔里鎮,南投縣埔里鎮愛蘭里梅村一路25號,120.9423065,23.97323036,21,63,3,5
南投縣公設民營懷恩養護復健中心,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮北安里八德路17號,120.9707565,23.97097969,29,145,5,5
埔基醫療財團法人附設南投縣私立常樂社區式長期照顧服務機構,B,小規模多機能服務,南投縣,埔里鎮,南投縣埔里鎮籃城里鐵山路2號,120.9461823,23.97181702,9,39,4.333333333,5
南投縣私立泰安社區式長期照顧服務機構,B,家庭托顧服務,南投縣,埔里鎮,南投縣埔里鎮泰安里民族3街1號,120.9768143,23.96621895,39,129,3.307692308,4.1
埔基醫療財團法人附設埔基居家護理所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮愛蘭里鐵山路1號,120.9465561,23.97139931,14,31,2.214285714,4.5
南投縣埔里鎮珠仔山社區發展協會,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮珠格里珠生路36之5號,120.9597626,23.93822098,37,170,4.594594595,4.2
臺中榮民總醫院埔里分院附設南投縣公立榮光社區式長期照顧服務機構,B,日間照顧服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9943695,23.97875404,24,55,2.291666667,4.4
美門口物理治療所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮籃城里鐵山路2號,120.9461823,23.97181702,8,19,2.375,4.5
社團法人南投縣埔里鎮籃城社區發展協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮籃城里籃城路21號(籃城社區活動中心),120.9567108,23.98098183,6,26,4.333333333,4.2
社團法人南投縣脊髓損傷者協會,B,交通接送服務,南投縣,埔里鎮,南投縣埔里鎮北安里八德路17號1樓,120.9707413,23.9711895,10,39,3.9,4.2
南投縣私立慈恩社區式長期照顧服務機構,B,家庭托顧服務,南投縣,埔里鎮,南投縣埔里鎮枇杷里九成街116號,120.9809647,23.9498806,5,9,1.8,4
埔基醫療財團法人埔里基督教醫院,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮愛蘭里鐵山路1號,120.9465561,23.97139931,13,65,5,4.3
財團法人私立光明仁愛之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里鯉魚路25之6號,121.0007324,23.96105957,40,196,4.9,4.1
臺中榮民總醫院埔里分院附設護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮榮光路1號,120.9968109,23.97580338,12,54,4.5,4.5
臺中榮民總醫院埔里分院,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9943695,23.97875404,30,69,2.3,3.8
財團法人利河伯社會福利基金會附設台灣省私立基督仁愛之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮福興里福興路146巷48號,120.975563,24.00739861,23,35,1.52173913,4.8
惠安診所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮西安路一段70號,120.9656754,23.96524048,31,87,2.806451613,4.5
健豐藥局,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮和四街3號,120.9774094,23.95896149,27,70,2.592592593,3.8
社團法人南投縣城鄉關懷福利協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮枇杷里和二街1號,120.9765701,23.95793152,24,94,3.916666667,4.5
?程居家職能治療所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮樹人二街1之22號,120.9750671,23.95887375,24,82,3.416666667,4
陳宏麟診所,B,居家失能個案家庭醫師照護服務,南投縣,埔里鎮,南投縣埔里鎮薰化里南昌街221號,120.964447,23.96633911,20,94,4.7,4.7
臺中榮民總醫院埔里分院附設精神護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9968109,23.97580338,42,151,3.595238095,5
安杏診所,B,專業照護服務,南投縣,埔里鎮,南投縣埔里鎮中山路三段100號,120.9632645,23.96633911,27,103,3.814814815,5
南投縣埔里鎮慈恩社區發展協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮枇杷里九成街46號(慈恩社區活動中心),120.9811172,23.95119095,39,148,3.794871795,4.7
南投縣愛加倍家庭關懷協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮清新里民生路117號,120.9627457,23.96055985,14,50,3.571428571,4.8
南投縣埔里鎮良善社區發展協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮水頭里中正路121號(廟宇活動中心),120.9798965,23.94464302,34,150,4.411764706,4.8
財團法人老五老基金會附設南投縣私立老五老居家式長期照顧服務機構,B,居家服務,南投縣,埔里鎮,南投縣埔里鎮北門里博愛路37號,120.9725571,23.96599197,31,124,4,3.5
南投縣埔里鎮一新社區發展協會,C,巷弄長照站,南投縣,埔里鎮,南投縣埔里鎮一新里永興路29號 (一新社區活動中心),120.9323349,24.00654984,47,197,4.191489362,3.5
和泰護理之家,B,喘息服務,南投縣,埔里鎮,南投縣埔里鎮中山路一段180號1樓,121.0014343,23.97884178,10,28,2.8,3.7
財團法人愚人之友社會福利慈善事業基金會附設私立愚人之友綜合長照機構,B,團體家屋服務,南投縣,埔里鎮,南投縣埔里鎮鐵山里鐵山路6之3、5、6號,120.9463043,23.97212791,47,207,4.404255319,4.8
福樂診所,B,居家失能個案家庭醫師照護服務,南投縣,埔里鎮,南投縣埔里鎮北安里和平東路413號,120.9769974,23.97078896,44,132,3,4.2
